bibkg_id,wikidata_id,other_wikidata_ids,dblp_id,DBLP publication ID,DBLP venue ID,DBLP event ID,DOI,arXiv ID,ieeeXplore,hdl.handle,d-nb.info,ACM Classification Code,ACM Digital Library citation ID,ACM Digital Library event ID,ethos,ISBN-10,ISBN-13,DBLP author ID,ORCID ID,Google Scholar ID
j_corr_abs_1804_11136,Q111688609,,journals/corr/abs-1804-11136,,,,,1804.11136,,,,,,,,,,,,
j_corr_abs_1809_00290,Q111688614,,journals/corr/abs-1809-00290,,,,,1809.00290,,,,,,,,,,,,
j_corr_abs_1805_04460,Q111688784,,journals/corr/abs-1805-04460,,,,,1805.04460,,,,,,,,,,,,
j_corr_abs_1910_14614,Q111688800,,journals/corr/abs-1910-14614,,,,,1910.14614,,,,,,,,,,,,
j_corr_abs_1909_10926,Q111688866,,journals/corr/abs-1909-10926,,,,,1909.10926,,,,,,,,,,,,
b_daglib_0067423,Q116644380,,,,,,,,,,,,,,,,978-0-444-88054-3,,,
b_daglib_0008203,Q47460021,,,,,,,,,,,,,,,,978-0-596-00469-9,,,
p_ethos_Littlewort91,Q59572454,,,,,,,,,,,,,,uk.bl.ethos.292677,,,,,
p_ethos_Jackson92,Q59572687,,,,,,,,,,,,,,uk.bl.ethos.305989,,,,,
p_ethos_Tombs92,Q59573261,,,,,,,,,,,,,,uk.bl.ethos.334293,,,,,
p_ethos_McDonnell95,Q59574398,,,,,,,,,,,,,,uk.bl.ethos.268162,,,,,
p_ethos_Ginbayashi95,Q59574535,,,,,,,,,,,,,,uk.bl.ethos.294381,,,,,
p_ethos_Sujithan97,Q59575729,,,,,,,,,,,,,,uk.bl.ethos.389046,,,,,
p_ethos_Calinescu98,Q59577116,,,,,,,,,,,,,,uk.bl.ethos.299406,,,,,
p_ethos_Tiskin98,Q59577267,,,,,,,,,,,,,,uk.bl.ethos.302334,,,,,
p_ethos_Zuliani01,Q59578280,,,,,,,,,,,,,,uk.bl.ethos.393364,,,,,
p_ethos_Pitcher01,Q59578407,,,,,,,,,,,,,,uk.bl.ethos.393759,,,,,
p_ethos_Lund02,Q59580462,,,,,,,,,,,,,,uk.bl.ethos.391006,,,,,
p_ethos_Deutscher02,Q59580468,,,,,,,,,,,,,,uk.bl.ethos.393478,,,,,
p_ethos_Mortimer03,Q59580687,,,,,,,,,,,,,,uk.bl.ethos.400340,,,,,
p_ethos_Liakata04,Q59581426,,,,,,,,,,,,,,uk.bl.ethos.413107,,,,,
p_ethos_Hansen07,Q59582869,,,,,,,,,,,,,,uk.bl.ethos.442465,,,,,
p_ethos_Waldermann09,Q59583469,,,,,,,,,,,,,,uk.bl.ethos.491616,,,,,
p_ethos_Surmacz07,Q59583735,,,,,,,,,,,,,,uk.bl.ethos.497104,,,,,
p_ethos_Prasad09,Q59583975,,,,,,,,,,,,,,uk.bl.ethos.504456,,,,,
p_ethos_McKee17,Q59624141,,,,,,,,,,,,,,uk.bl.ethos.727236,,,,,
p_ethos_AlOmari17,Q59624175,,,,,,,,,,,,,,uk.bl.ethos.729456,,,,,
j_corr_abs_2004_04733,Q95946302,,journals/corr/abs-2004-04733,,,,,2004.04733,,,,,,,,,,,,
b_mk_PattersonH97,Q110814730,,,,,,,,,,,,,,,1-55860-428-6,,,,
b_mk_PattersonH94,Q110814838,,,,,,,,,,,,,,,1-55860-282-8,,,,
j_corr_CrainGLR17,Q111688270,,journals/corr/CrainGLR17,,,,,1702.03068,,,,,,,,,,,,
j_corr_Shomer14,Q111688302,,journals/corr/Shomer14,,,,,1402.4233,,,,,,,,,,,,
j_corr_abs_1305_5956,Q111688331,,journals/corr/abs-1305-5956,,,,,1305.5956,,,,,,,,,,,,
j_corr_abs_1810_02937,Q111688407,,journals/corr/abs-1810-02937,,,,,1810.02937,,,,,,,,,,,,
j_corr_abs_1804_08044,Q111688450,,journals/corr/abs-1804-08044,,,,,1804.08044,,,,,,,,,,,,
j_corr_abs_1804_10013,Q111688457,,journals/corr/abs-1804-10013,,,,,1804.10013,,,,,,,,,,,,
