bibkg_id,wikidata_id,previous_link,other_wikidata_ids,dblp_id,linked_by_id,linked_by_id_recursion_authors,linked_by_id_recursion_journals,linked_by_id_recursion_publications,linked_by_comparisons,linked_by_comparisons_recursion_authors,linked_by_comparisons_recursion_journals,linked_by_comparisons_recursion_publications
a_James_Duncan_Davidson,Q1423753,,,homepages/36/9387,1,,,,,,,
a_Frans_Oort,Q1445462,,,homepages/126/6978,1,,,,,,,
a_Theodore_W__Anderson,Q1527954,,,homepages/163/1106,1,,,,,,,
a_Pavel_Exner_0001,Q1626145,,,homepages/172/8472-1,1,,,,,,,
a_Laure_Saint_Raymond,Q1649352,,,homepages/00/9376,1,,,,,,,
a_Jason_H__Moore,Q1683959,Q6162630,Q6162630,homepages/07/315,1,,,,,,,
a_Jeffrey_H__Shapiro,Q1686445,Q87741253,Q87741253,homepages/30/793,1,,,,,,,
a_Johann_Schr_ouml_der,Q1696161,,,homepages/160/7564,1,,,,,,,
a_Vladimir_Rokhlin,Q1780861,,,homepages/03/995,1,,,,,,,
a_Shiraz_Shivji,Q1850459,,,homepages/02/2953,1,,,,,,,
a_Manfred_F__Buchroithner,Q1889260,,,homepages/10/8059,1,,,,,,,
a_Matthias_Ehrhardt_0001,Q1909846,,,homepages/20/4475-1,1,,,,,,,
a_John_Willinsky,Q2000015,,,homepages/16/5347,1,,,,,,,
a_Diomidis_Spinellis,Q2330311,Q56581853,,homepages/s/DiomidisSpinellis,1,,,,,,,
a_Stefan_Vo_szlig_,Q2337846,Q60731251,Q60731251,homepages/65/2312,1,,,,,,,
a_Thorsten_Quandt,Q2429207,,,homepages/52/9459,1,,,,,,,
a_Ulrich_Langer,Q2476248,,,homepages/37/618,1,,,,,,,
a_Yuri_Tschinkel,Q2601947,,,homepages/24/1570,1,,,,,,,
a_Alessio_Figalli,Q2641168,Q95951610,,homepages/59/9375,1,,,,,,,
a_Dan_Connolly,Q3013037,Q56572910,,homepages/33/2532,1,,,,,,,
a_Hoang_Tuy,Q3141673,,,homepages/67/3073,1,,,,,,,
a_Jean_Marie_Laborde,Q3167708,,,homepages/42/3933,1,,,,,,,
a_Andrea_Moro_0003,Q3615892,Q57422358,,homepages/05/11403-3,1,,,,,,,
